id,order_id,ticker,event_ticker,city,market_type,side,contracts,entry_price_cents,fees_cents,estimated_temp_f,forecast_temp_f,primary_temp_f,surrounding_avg_f,confidence,edge_pct,model_std_dev,floor_strike,cap_strike,our_probability,market_probability,settled,actual_temp_f,settlement_result,pnl_cents,created_at,settled_at,prediction_error_f,notes,final_pnl_cents,signal_source
1,711f9110-cf0b-4ae3-9d44-bd6006d4f334,KXHIGHPHIL-26FEB17-B49.5,KXHIGHPHIL-26FEB17,PHI,high,no,1,63,2,,,,,,,,,,,,1,42.0,win,37,2026-02-17T12:01:44.861544Z,2026-02-19 01:58:31,,,37,model
2,60ddf1ea-2394-4b05-9d68-6a0a1d7fb719,KXHIGHTBOS-26FEB17-B39.5,KXHIGHTBOS-26FEB17,BOS,high,no,1,65,2,,,,,,,,,,,,1,38.0,win,35,2026-02-17T12:00:58.056611Z,2026-02-19 01:58:31,,,35,model
3,bcfa688d-fc51-4199-931a-9cda144009cd,KXHIGHMIA-26FEB17-B79.5,KXHIGHMIA-26FEB17,MIA,high,no,1,52,2,,,,,,,,,,,,1,80.0,loss,-52,2026-02-17T12:00:57.155397Z,2026-02-19 01:58:31,,,-52,model
4,150df5aa-9b72-40d5-bfc9-0552a5477edf,KXHIGHMIA-26FEB17-B81.5,KXHIGHMIA-26FEB17,MIA,high,no,1,63,2,,,,,,,,,,,,1,80.0,win,37,2026-02-17T12:00:56.268286Z,2026-02-19 01:58:32,,,37,model
5,ea5a7e00-aa06-4e65-990b-c54c62fd7e01,KXHIGHTBOS-26FEB17-B43.5,KXHIGHTBOS-26FEB17,BOS,high,no,1,95,1,,,,,,,,,,,,1,38.0,win,5,2026-02-17T11:44:19.180577Z,2026-02-19 01:58:32,,,5,model
6,636f4be6-5b0a-4296-8baa-8a71109d0365,KXHIGHTBOS-26FEB17-B41.5,KXHIGHTBOS-26FEB17,BOS,high,no,1,86,1,,,,,,,,,,,,1,38.0,win,14,2026-02-17T11:44:18.280181Z,2026-02-19 01:58:32,,,14,model
7,26518354-dcc9-4ecb-a92c-8c80a38937a6,KXHIGHMIA-26FEB17-T82,KXHIGHMIA-26FEB17,MIA,high,no,1,92,1,,,,,,,,,,,,1,80.0,win,8,2026-02-17T11:44:17.387208Z,2026-02-19 01:58:33,,,8,model
8,4035ae07-a875-4a42-9710-9d6476c5a219,KXLOWTNYC-26FEB17-T35,KXLOWTNYC-26FEB17,NYC,low,yes,1,50,0,,,,,,,,,,,,1,35.0,loss,-50,2026-02-17T09:32:42.165448Z,2026-02-19 01:58:33,,,-50,model
9,2eb1fcb3-58bb-475f-9a59-dc39121353f4,KXLOWTNYC-26FEB17-B32.5,KXLOWTNYC-26FEB17,NYC,low,no,1,79,2,,,,,,,,,,,,1,35.0,win,21,2026-02-17T03:00:27.494993Z,2026-02-19 01:58:33,,,21,model
10,a710350b-98d3-46ff-9c6d-dbb6262aced5,KXLOWTPHIL-26FEB17-B32.5,KXLOWTPHIL-26FEB17,PHI,low,no,1,60,2,,,,,,,,,,,,1,35.0,win,40,2026-02-17T03:00:26.742016Z,2026-02-19 01:58:34,,,40,model
